Title,Chunk,Metadata
Duel,"Duel (2009) is a comedy film directed by Pavel Nikolajev. Featuring Josh Long, Elizabeth, A., and others, this movie has an IMDb rating of 8.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Duel', 'IMDb Rating': 8.3, 'Year': 2009, 'Certificates': 'R', 'Director': 'Pavel Nikolajev', 'Star Cast': 'Josh Long,Elizabeth,A.,Morrison James,Molinari', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Josh Long', 'Actor 2': 'Elizabeth', 'Actor 3': 'A.', 'Actor 4': 'Morrison James', 'Actor 5': 'Molinari'}"
Spidertron,"Spidertron (2008) is a action film directed by Carter Soles. Featuring Amanda, A.Chad Afanador, Emily Afanador, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Spidertron', 'IMDb Rating': 6.7, 'Year': 2008, 'Certificates': 'R', 'Director': 'Carter Soles', 'Star Cast': 'Amanda,A.Chad Afanador,Emily Afanador', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Amanda', 'Actor 2': 'A.Chad Afanador', 'Actor 3': 'Emily Afanador', 'Actor 4': '', 'Actor 5': ''}"
A Taste of Kiss,"A Taste of Kiss (2011) is a drama film directed by Ippei Nishihara. Featuring Tadafumi Ando, Kazuya Hayashi, Masana Hirabuki, this movie has an IMDb rating of 8.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'A Taste of Kiss', 'IMDb Rating': 8.0, 'Year': 2011, 'Certificates': 'R', 'Director': 'Ippei Nishihara', 'Star Cast': 'Tadafumi Ando,Kazuya Hayashi,Masana Hirabuki', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tadafumi Ando', 'Actor 2': 'Kazuya Hayashi', 'Actor 3': 'Masana Hirabuki', 'Actor 4': '', 'Actor 5': ''}"
The Fix:,"The Fix: (2011) is a sci-fi film directed by Britmic. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 5.7/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'The Fix:', 'IMDb Rating': 5.7, 'Year': 2011, 'Certificates': 'R', 'Director': 'Britmic', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
The Synthetic Man,"The Synthetic Man (1988) is a sci-fi film directed by Yabiao Wang. Featuring Shuang Du, Ailing Huang, Xiaodong Li, this movie has an IMDb rating of 6.5/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'The Synthetic Man', 'IMDb Rating': 6.5, 'Year': 1988, 'Certificates': 'R', 'Director': 'Yabiao Wang', 'Star Cast': 'Shuang Du,Ailing Huang,Xiaodong Li', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Shuang Du', 'Actor 2': 'Ailing Huang', 'Actor 3': 'Xiaodong Li', 'Actor 4': '', 'Actor 5': ''}"
Die Welt ohne Maske,"Die Welt ohne Maske (1934) is a comedy film directed by Harry Piel. Featuring Harry Piel, Kurt Vespermann, Annie Markart, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Die Welt ohne Maske', 'IMDb Rating': 6.2, 'Year': 1934, 'Certificates': 'R', 'Director': 'Harry Piel', 'Star Cast': 'Harry Piel,Kurt Vespermann,Annie Markart', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Harry Piel', 'Actor 2': 'Kurt Vespermann', 'Actor 3': 'Annie Markart', 'Actor 4': '', 'Actor 5': ''}"
Johnny Shortwave,"Johnny Shortwave (1995) is a drama film directed by Michael Bockner. Featuring Emmanuel Mark, John Tench, Mona Matteo, this movie has an IMDb rating of 5.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Johnny Shortwave', 'IMDb Rating': 5.2, 'Year': 1995, 'Certificates': 'R', 'Director': 'Michael Bockner', 'Star Cast': 'Emmanuel Mark,John Tench,Mona Matteo', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Emmanuel Mark', 'Actor 2': 'John Tench', 'Actor 3': 'Mona Matteo', 'Actor 4': '', 'Actor 5': ''}"
Single Minded,"Single Minded (2010) is a action film directed by Luke Tedder. Featuring Luke Tedder, James Dearing, Oliver Gills, this movie has an IMDb rating of 6.8/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Single Minded', 'IMDb Rating': 6.8, 'Year': 2010, 'Certificates': 'R', 'Director': 'Luke Tedder', 'Star Cast': 'Luke Tedder,James Dearing,Oliver Gills', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Luke Tedder', 'Actor 2': 'James Dearing', 'Actor 3': 'Oliver Gills', 'Actor 4': '', 'Actor 5': ''}"
La jaula,"La jaula (2000) is a sci-fi film directed by Vance McLean. Featuring Ivan Camilo, Mariana Monclova, Norman Santiago, this movie has an IMDb rating of 5.7/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'La jaula', 'IMDb Rating': 5.7, 'Year': 2000, 'Certificates': 'R', 'Director': 'Vance McLean', 'Star Cast': 'Ivan Camilo,Mariana Monclova,Norman Santiago', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Ivan Camilo', 'Actor 2': 'Mariana Monclova', 'Actor 3': 'Norman Santiago', 'Actor 4': '', 'Actor 5': ''}"
Atrophy,"Atrophy (2018) is a sci-fi film directed by Jason Slingerland. Featuring Chadwick Sutton, Hannah Daniel, Zechariah Metzler, this movie has an IMDb rating of 7.8/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Atrophy', 'IMDb Rating': 7.8, 'Year': 2018, 'Certificates': 'R', 'Director': 'Jason Slingerland', 'Star Cast': 'Chadwick Sutton,Hannah Daniel,Zechariah Metzler', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Chadwick Sutton', 'Actor 2': 'Hannah Daniel', 'Actor 3': 'Zechariah Metzler', 'Actor 4': '', 'Actor 5': ''}"
As the Earth Turned,"As the Earth Turned (2012) is a comedy film directed by Bill Taylor. Featuring Denese Mc, Cready Damian, Mc Donald, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'As the Earth Turned', 'IMDb Rating': 7.1, 'Year': 2012, 'Certificates': 'R', 'Director': 'Bill Taylor', 'Star Cast': 'Denese Mc,Cready Damian,Mc Donald,Robert Render', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Denese Mc', 'Actor 2': 'Cready Damian', 'Actor 3': 'Mc Donald', 'Actor 4': 'Robert Render', 'Actor 5': ''}"
Last Days,"Last Days (2010) is a drama film directed by Andrew Jara. Featuring Mark Ocegueda, Algernon, D'Ammassa Marcelle, and others, this movie has an IMDb rating of 5.9/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Last Days', 'IMDb Rating': 5.9, 'Year': 2010, 'Certificates': 'R', 'Director': 'Andrew Jara', 'Star Cast': ""Mark Ocegueda,Algernon,D'Ammassa Marcelle,Bowman"", 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mark Ocegueda', 'Actor 2': 'Algernon', 'Actor 3': ""D'Ammassa Marcelle"", 'Actor 4': 'Bowman', 'Actor 5': ''}"
Oigye Eseo on Ulemae 9: Mujeok Ui Paiteo Ulemae,"Oigye Eseo on Ulemae 9: Mujeok Ui Paiteo Ulemae (1993) is a action film directed by Han-yeol Lee. Featuring Hyung-rae Shim, Yu Bin, Mun Hyeok, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Oigye Eseo on Ulemae 9: Mujeok Ui Paiteo Ulemae', 'IMDb Rating': 7.0, 'Year': 1993, 'Certificates': 'R', 'Director': 'Han-yeol Lee', 'Star Cast': 'Hyung-rae Shim,Yu Bin,Mun Hyeok', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Hyung-rae Shim', 'Actor 2': 'Yu Bin', 'Actor 3': 'Mun Hyeok', 'Actor 4': '', 'Actor 5': ''}"
La grata,"La grata (2009) is a sci-fi film directed by Fabio Morichini. Featuring Francesco Cabras, Pepita Cianfoni, Francesco Corica, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'La grata', 'IMDb Rating': 7.1, 'Year': 2009, 'Certificates': 'R', 'Director': 'Fabio Morichini', 'Star Cast': 'Francesco Cabras,Pepita Cianfoni,Francesco Corica', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Francesco Cabras', 'Actor 2': 'Pepita Cianfoni', 'Actor 3': 'Francesco Corica', 'Actor 4': '', 'Actor 5': ''}"
Roboflash Warrior,"Roboflash Warrior (1994) is a action film directed by Richard J. Thomson. Featuring Laurent Dallias, Luc Cendrier, Noé Cendrier, this movie has an IMDb rating of 5.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Roboflash Warrior', 'IMDb Rating': 5.2, 'Year': 1994, 'Certificates': 'R', 'Director': 'Richard J. Thomson', 'Star Cast': 'Laurent Dallias,Luc Cendrier,Noé Cendrier', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Laurent Dallias', 'Actor 2': 'Luc Cendrier', 'Actor 3': 'Noé Cendrier', 'Actor 4': '', 'Actor 5': ''}"
Mislandia,"Mislandia (2019) is a adventure film directed by Mashti Allan. Featuring Zahara Johannes, Ross Johnson, Aleks Nial, this movie has an IMDb rating of 7.4/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Mislandia', 'IMDb Rating': 7.4, 'Year': 2019, 'Certificates': 'R', 'Director': 'Mashti Allan', 'Star Cast': 'Zahara Johannes,Ross Johnson,Aleks Nial', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Adventure', 'Genre 1': 'Adventure', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Zahara Johannes', 'Actor 2': 'Ross Johnson', 'Actor 3': 'Aleks Nial', 'Actor 4': '', 'Actor 5': ''}"
Zvyozdnaya komandirovka,"Zvyozdnaya komandirovka (1983) is a comedy film directed by Boris Ivchenko. Featuring Yevgeni Shatko, this movie has an IMDb rating of 5.4/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Zvyozdnaya komandirovka', 'IMDb Rating': 5.4, 'Year': 1983, 'Certificates': 'R', 'Director': 'Boris Ivchenko', 'Star Cast': 'Yevgeni Shatko', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Yevgeni Shatko', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Amare,"Amare (2018) is a drama film directed by M.M. Izidoro. Featuring Tassia Cabanas, Vinicius Calderoni, M.M., and others, this movie has an IMDb rating of 8.6/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Amare', 'IMDb Rating': 8.6, 'Year': 2018, 'Certificates': 'R', 'Director': 'M.M. Izidoro', 'Star Cast': 'Tassia Cabanas,Vinicius Calderoni,M.M.,Izidoro', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tassia Cabanas', 'Actor 2': 'Vinicius Calderoni', 'Actor 3': 'M.M.', 'Actor 4': 'Izidoro', 'Actor 5': ''}"
Ulemae 4: Thunder V chuldong,"Ulemae 4: Thunder V chuldong (1987) is a sci-fi film directed by Myeong-hwa Jo. Featuring Hyung-rae Shim, Eun-kyeong Jeon, Kim, and others, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Ulemae 4: Thunder V chuldong', 'IMDb Rating': 6.2, 'Year': 1987, 'Certificates': 'R', 'Director': 'Myeong-hwa Jo', 'Star Cast': 'Hyung-rae Shim,Eun-kyeong Jeon,Kim,Su-Mi', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Hyung-rae Shim', 'Actor 2': 'Eun-kyeong Jeon', 'Actor 3': 'Kim', 'Actor 4': 'Su-Mi', 'Actor 5': ''}"
Retribution in the Year 2050,"Retribution in the Year 2050 (1998) is a sci-fi film directed by Brendan Muldowney. Featuring Aideen Bradshaw, Philip Bredin, Johnny Brewer, this movie has an IMDb rating of 5.1/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Retribution in the Year 2050', 'IMDb Rating': 5.1, 'Year': 1998, 'Certificates': 'R', 'Director': 'Brendan Muldowney', 'Star Cast': 'Aideen Bradshaw,Philip Bredin,Johnny Brewer', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Aideen Bradshaw', 'Actor 2': 'Philip Bredin', 'Actor 3': 'Johnny Brewer', 'Actor 4': '', 'Actor 5': ''}"
Grandfather's Century,"Grandfather's Century (2020) is a sci-fi film directed by Sam van Zoest. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': ""Grandfather's Century"", 'IMDb Rating': 7.0, 'Year': 2020, 'Certificates': 'R', 'Director': 'Sam van Zoest', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
Die Wahrheit über die Stasi,"Die Wahrheit über die Stasi (1992) is a comedy film directed by Alexander Zahn. Featuring Wolfgang Dahl, Thomas Dorl, Dirk Feinermann, this movie has an IMDb rating of 7.8/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Die Wahrheit über die Stasi', 'IMDb Rating': 7.8, 'Year': 1992, 'Certificates': 'R', 'Director': 'Alexander Zahn', 'Star Cast': 'Wolfgang Dahl,Thomas Dorl,Dirk Feinermann', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Wolfgang Dahl', 'Actor 2': 'Thomas Dorl', 'Actor 3': 'Dirk Feinermann', 'Actor 4': '', 'Actor 5': ''}"
Agilem eli fragmentteja Pään elämästä,"Agilem eli fragmentteja Pään elämästä (2018) is a sci-fi film directed by Ilkka Levä. Featuring Anne Autiolahti, Marko Gylén, Hannaleena Hauru, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Agilem eli fragmentteja Pään elämästä', 'IMDb Rating': 7.0, 'Year': 2018, 'Certificates': 'R', 'Director': 'Ilkka Levä', 'Star Cast': 'Anne Autiolahti,Marko Gylén,Hannaleena Hauru', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Anne Autiolahti', 'Actor 2': 'Marko Gylén', 'Actor 3': 'Hannaleena Hauru', 'Actor 4': '', 'Actor 5': ''}"
An American Cyborg,"An American Cyborg (2002) is a action film directed by Christian Robert Varley. Featuring Carson Grant, Alyxx Morgen, Diane Quinn, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 73 minutes, it is rated Not Rated.","{'Title': 'An American Cyborg', 'IMDb Rating': 6.2, 'Year': 2002, 'Certificates': 'Not Rated', 'Director': 'Christian Robert Varley', 'Star Cast': 'Carson Grant,Alyxx Morgen,Diane Quinn', 'MetaScore': 66.0, 'Duration (minutes)': 73.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Carson Grant', 'Actor 2': 'Alyxx Morgen', 'Actor 3': 'Diane Quinn', 'Actor 4': '', 'Actor 5': ''}"
Johnny Be Gone,"Johnny Be Gone (2011) is a drama film directed by Trevor Juenger. Featuring Devlin Wilder, Joe Hammerstone, Katie Deerest, this movie has an IMDb rating of 6.1/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Johnny Be Gone', 'IMDb Rating': 6.1, 'Year': 2011, 'Certificates': 'R', 'Director': 'Trevor Juenger', 'Star Cast': 'Devlin Wilder,Joe Hammerstone,Katie Deerest', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Devlin Wilder', 'Actor 2': 'Joe Hammerstone', 'Actor 3': 'Katie Deerest', 'Actor 4': '', 'Actor 5': ''}"
The Importance of Being Russell,"The Importance of Being Russell (2006) is a comedy film directed by Sean Plemmons. Featuring Jeff Hassen, John Pickle, Sean Plemmons, this movie has an IMDb rating of 5.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'The Importance of Being Russell', 'IMDb Rating': 5.2, 'Year': 2006, 'Certificates': 'R', 'Director': 'Sean Plemmons', 'Star Cast': 'Jeff Hassen,John Pickle,Sean Plemmons', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Jeff Hassen', 'Actor 2': 'John Pickle', 'Actor 3': 'Sean Plemmons', 'Actor 4': '', 'Actor 5': ''}"
A Cold Day in Hell,"A Cold Day in Hell (2015) is a drama film directed by Nickolas Robison. Featuring Bob Roberts, Kaylee Steen, Arin Winger, this movie has an IMDb rating of 6.9/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'A Cold Day in Hell', 'IMDb Rating': 6.9, 'Year': 2015, 'Certificates': 'R', 'Director': 'Nickolas Robison', 'Star Cast': 'Bob Roberts,Kaylee Steen,Arin Winger', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Bob Roberts', 'Actor 2': 'Kaylee Steen', 'Actor 3': 'Arin Winger', 'Actor 4': '', 'Actor 5': ''}"
Dead Strange Jam,"Dead Strange Jam (2015) is a comedy film directed by Liam Bond. Featuring Liam Bond, Nick Box, Marcus Caballero, this movie has an IMDb rating of 5.5/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Dead Strange Jam', 'IMDb Rating': 5.5, 'Year': 2015, 'Certificates': 'R', 'Director': 'Liam Bond', 'Star Cast': 'Liam Bond,Nick Box,Marcus Caballero', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Liam Bond', 'Actor 2': 'Nick Box', 'Actor 3': 'Marcus Caballero', 'Actor 4': '', 'Actor 5': ''}"
Idealnoe prestuplenie,"Idealnoe prestuplenie (1990) is a mystery film directed by Igor Voznesensky. Featuring Zinovi Yuryev, this movie has an IMDb rating of 6.1/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Idealnoe prestuplenie', 'IMDb Rating': 6.1, 'Year': 1990, 'Certificates': 'R', 'Director': 'Igor Voznesensky', 'Star Cast': 'Zinovi Yuryev', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Mystery', 'Genre 1': 'Mystery', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Zinovi Yuryev', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Steampunk,"Steampunk (2010) is a action film directed by Billy T. Boyd. Featuring Gareth Evans, Jaime Pittenger, Chad Burns, this movie has an IMDb rating of 5.5/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Steampunk', 'IMDb Rating': 5.5, 'Year': 2010, 'Certificates': 'R', 'Director': 'Billy T. Boyd', 'Star Cast': 'Gareth Evans,Jaime Pittenger,Chad Burns', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Gareth Evans', 'Actor 2': 'Jaime Pittenger', 'Actor 3': 'Chad Burns', 'Actor 4': '', 'Actor 5': ''}"
Karim Patwa's Spaceship,"Karim Patwa's Spaceship (2004) is a biography film directed by Karim Patwa. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 8.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': ""Karim Patwa's Spaceship"", 'IMDb Rating': 8.3, 'Year': 2004, 'Certificates': 'R', 'Director': 'Karim Patwa', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Biography', 'Genre 1': 'Biography', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
Minushi,"Minushi (2007) is a animation film directed by Tyler Gibb. Featuring Jay Donaldson, Tyler Gibb, Tara Lutchman, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 94 minutes, it is rated Not Rated.","{'Title': 'Minushi', 'IMDb Rating': 7.2, 'Year': 2007, 'Certificates': 'Not Rated', 'Director': 'Tyler Gibb', 'Star Cast': 'Jay Donaldson,Tyler Gibb,Tara Lutchman', 'MetaScore': 66.0, 'Duration (minutes)': 94.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Jay Donaldson', 'Actor 2': 'Tyler Gibb', 'Actor 3': 'Tara Lutchman', 'Actor 4': '', 'Actor 5': ''}"
Embers of the Sky,"Embers of the Sky (2010) is a drama film directed by Justin Calen-Chenn. Featuring Hayley J, Williams Maria, Olsen Rowena, and others, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Embers of the Sky', 'IMDb Rating': 6.3, 'Year': 2010, 'Certificates': 'R', 'Director': 'Justin Calen-Chenn', 'Star Cast': 'Hayley J,Williams Maria,Olsen Rowena,Sumner', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Hayley J', 'Actor 2': 'Williams Maria', 'Actor 3': 'Olsen Rowena', 'Actor 4': 'Sumner', 'Actor 5': ''}"
Timeshifters 2: Alternate Present,"Timeshifters 2: Alternate Present (2012) is a sci-fi film directed by Esses Tamás. Featuring Szabó Antal, Bolla Attila, Harczi Bence, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Timeshifters 2: Alternate Present', 'IMDb Rating': 7.2, 'Year': 2012, 'Certificates': 'R', 'Director': 'Esses Tamás', 'Star Cast': 'Szabó Antal,Bolla Attila,Harczi Bence', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Szabó Antal', 'Actor 2': 'Bolla Attila', 'Actor 3': 'Harczi Bence', 'Actor 4': '', 'Actor 5': ''}"
The Paralyzing Agent,"The Paralyzing Agent (2009) is a drama film directed by Gene Greenlees. Featuring Michael Anderson, Patrick Barrilleaux, Carlie Bass, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'The Paralyzing Agent', 'IMDb Rating': 6.2, 'Year': 2009, 'Certificates': 'R', 'Director': 'Gene Greenlees', 'Star Cast': 'Michael Anderson,Patrick Barrilleaux,Carlie Bass', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Michael Anderson', 'Actor 2': 'Patrick Barrilleaux', 'Actor 3': 'Carlie Bass', 'Actor 4': '', 'Actor 5': ''}"
Dreamscape,"Dreamscape (2011) is a sci-fi film directed by Curt Anderson. Featuring Sophie Bolen, Samantha Berends, Ethan Knoth, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Dreamscape', 'IMDb Rating': 6.3, 'Year': 2011, 'Certificates': 'R', 'Director': 'Curt Anderson', 'Star Cast': 'Sophie Bolen,Samantha Berends,Ethan Knoth', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Sophie Bolen', 'Actor 2': 'Samantha Berends', 'Actor 3': 'Ethan Knoth', 'Actor 4': '', 'Actor 5': ''}"
